steps	mean	std	min	max	val	final
0	0.20278	0.0072	0.18731	0.22735	0.23715999722480774	0*
10000	0.20029	0.06445	0.04818	0.41059	0.2611599862575531	0*
20000	0.1645	0.04771	0.08415	0.32949	0.2032800018787384	0*
30000	0.1615	0.0398	0.09128	0.27044	0.16856999695301056	0*
40000	0.19402	0.0502	0.06787	0.28741	0.17907999455928802	0*
50000	0.38945	0.06515	0.22701	0.47743	0.5411199927330017	0.38945*
60000	0.40726	0.05739	0.23923	0.48558	0.5575600266456604	0.40726*
70000	0.39902	0.07279	0.2036	0.49033	0.5731599926948547	0.39902*
80000	0.40546	0.0779	0.18561	0.49372	0.568880021572113	0.39902*
90000	0.40787	0.07224	0.17475	0.48524	0.5550100207328796	0.39902*
100000	0.40844	0.06553	0.20529	0.48795	0.588919997215271	0.40844*
110000	0.42307	0.056	0.23006	0.48626	0.5829399824142456	0.40844*
120000	0.40376	0.06952	0.17543	0.48694	0.5504599809646606	0.40844*
130000	0.41749	0.06209	0.25857	0.4866	0.5728099942207336	0.40844*
140000	0.39687	0.07303	0.20767	0.48728	0.5863000154495239	0.40844*
150000	0.40841	0.06744	0.1941	0.48829	0.5755900144577026	0.40844*
